mr,bleu_score
1,0.25925925925925924
1,0.1842105263157895
1,0.17543859649122806
1,0.1935483870967742
1,0.21296296296296297
1,0.25806451612903225
1,0.296875
1,0.17543859649122806
1,0.2786885245901639
1,0.16296296296296298
1,0.38095238095238093
1,0.53125
1,0.5333333333333333
1,0.24742268041237117
1,0.5666666666666667
1,0.25
1,0.20512820512820512
1,0.38095238095238093
1,0.53125
1,0.5333333333333333
1,0.19672131147540983
1,0.23809523809523808
1,0.20388349514563106
1,0.5666666666666667
1,0.625
1,0.5333333333333333
1,0.3230769230769231
1,0.32051282051282054
1,0.1834862385321101
1,0.22471910112359553
1,0.18382352941176472
1,0.20869565217391306
1,0.19827586206896555
1,0.20155038759689922
2,
2,0.15942028985507245
2,0.1310344827586207
2,0.10897435897435898
2,0.18333333333333332
2,
2,
2,0.1652892561983471
2,
2,0.09677419354838708
2,
2,
2,
2,0.20588235294117646
2,
2,
2,0.1437125748502994
2,
2,
2,
2,0.2
2,
2,
2,
2,
2,
2,
2,0.25274725274725274
2,
2,
2,
2,
2,
2,
3,0.31746031746031744
3,0.21428571428571425
3,0.18627450980392157
3,0.19767441860465118
3,0.23863636363636365
3,0.2909090909090909
3,0.36363636363636365
3,0.1727272727272727
3,0.29310344827586204
3,0.171875
3,0.45454545454545453
3,0.64
3,0.6956521739130435
3,0.26666666666666666
3,
3,0.2235294117647059
3,0.22857142857142856
3,0.45454545454545453
3,0.64
3,0.6956521739130435
3,0.20869565217391306
3,0.2375
3,0.23255813953488372
3,0.7391304347826086
3,0.7619047619047619
3,0.6956521739130435
3,0.425531914893617
3,0.32394366197183094
3,0.18095238095238092
3,0.23529411764705885
3,0.23008849557522126
3,0.22429906542056077
3,0.18548387096774194
3,0.21311475409836064
4,0.25
4,0.17796610169491522
4,0.17543859649122806
4,0.20202020202020202
4,0.2
4,0.24657534246575344
4,0.296875
4,0.16535433070866143
4,0.2786885245901639
4,0.15942028985507245
4,0.3333333333333333
4,0.5806451612903226
4,0.5151515151515151
4,0.24742268041237117
4,0.5714285714285714
4,0.23529411764705885
4,0.22857142857142856
4,0.3333333333333333
4,0.5454545454545454
4,0.4864864864864865
4,0.19672131147540983
4,0.19801980198019803
4,0.2391304347826087
4,0.6
4,0.5416666666666666
4,0.4864864864864865
4,0.2916666666666667
4,0.2976190476190476
4,0.16666666666666669
4,0.2234042553191489
4,0.2014388489208633
4,0.19512195121951223
4,0.19008264462809918
4,0.1897810218978102
5,0.28
5,0.18548387096774194
5,0.2
5,0.21276595744680848
5,0.20588235294117646
5,0.2727272727272727
5,0.3230769230769231
5,0.17647058823529413
5,0.2982456140350877
5,0.16312056737588654
5,0.42105263157894735
5,0.6333333333333333
5,0.5666666666666667
5,0.25
5,0.5517241379310345
5,0.22826086956521735
5,0.22018348623853215
5,0.42105263157894735
5,0.6333333333333333
5,0.5666666666666667
5,0.20754716981132076
5,0.25
5,
5,0.5517241379310345
5,0.5454545454545454
5,0.5666666666666667
5,0.30769230769230765
5,0.2857142857142857
5,0.18095238095238092
5,0.23529411764705885
5,0.21848739495798322
5,0.17054263565891473
5,0.19130434782608696
5,0.21259842519685043
6,0.29577464788732394
6,0.2375
6,0.19387755102040813
6,0.20930232558139536
6,0.23863636363636365
6,0.30769230769230765
6,0.3387096774193548
6,0.19491525423728814
6,0.36363636363636365
6,0.1782945736434109
6,0.45454545454545453
6,0.6521739130434783
6,0.5555555555555556
6,0.25
6,0.5789473684210527
6,0.24096385542168675
6,0.22857142857142856
6,
6,
6,
6,0.20869565217391306
6,0.28
6,0.23255813953488372
6,
6,
6,
6,0.4117647058823529
6,0.3188405797101449
6,0.18867924528301888
6,0.24705882352941178
6,0.21929824561403505
6,0.2336448598130841
6,0.22522522522522523
6,0.2066115702479339
7,0.3559322033898305
7,0.22857142857142856
7,0.18691588785046728
7,0.20689655172413796
7,0.22641509433962262
7,0.2909090909090909
7,0.3333333333333333
7,0.17857142857142858
7,0.3333333333333333
7,0.17054263565891473
7,0.3589743589743589
7,0.68
7,0.68
7,0.22448979591836735
7,0.72
7,0.21052631578947367
7,0.22857142857142856
7,0.3589743589743589
7,0.68
7,0.7368421052631579
7,0.21100917431192662
7,0.22727272727272727
7,0.22727272727272727
7,0.7391304347826086
7,0.7222222222222222
7,0.7368421052631579
7,0.3559322033898305
7,0.3150684931506849
7,0.16379310344827586
7,0.2441860465116279
7,0.21551724137931033
7,0.22123893805309736
7,0.19834710743801656
7,0.20634920634920634
