MR,Source,Followup,Result,BLEU_Score,,,
1,COVID-19 vaccines are safe and effective in protecting you against COVID-19.,COVID-19 vaccines are not safe and effective in protecting you against COVID-19.,The COVID-19 vaccine is not safe and effective in protecting you from COVID-19.,0.692307692,,mean,0.64209267
1,"When you get vaccinated, your body starts producing antibodies against the virus.","When you get vaccinated, your body does not starts producing antibodies against the virus.","When you get vaccinated, your body doesn't start to produce antibodies to the virus.",0.642857143,,median,0.647058824
1,These antibodies help your immune system fight the virus if exposed to it.,These antibodies does not help your immune system fight the virus if exposed to it.,These antibodies do not help fight the virus when your immune system is exposed to it.,0.8125,,max,1
1,"COVID-19 vaccines provide strong protection against serious illness, hospitalisation, and death.","COVID-19 vaccines does not provide strong protection against serious illness, hospitalisation, and death.","The COVID-19 vaccine does not provide strong protection against serious illness, hospitalization, and death.",0.785714286,,min,0.07961459
1,"Getting vaccinated helps those at a higher risk of falling seriously ill have an increased immunity, such as people who are severely immunocompromised, pregnant (including their unborn baby), adults aged above 65 years, and Aboriginal and Torres Strait Islander people.","Getting vaccinated helps those at a higher risk of falling seriously ill have an increased immunity, such as people who are not severely immunocompromised, pregnant (including their unborn baby), adults aged above 65 years, and Aboriginal and Torres Strait Islander people.","Vaccination helps boost immunity in people who do not have severe immune compromise, pregnant women (including unborn babies), adults 65 years of age or older, and people at higher risk of serious illness, such as Aboriginal and Torres Strait Islander residents.",0.536585366,,,
1,mRNA vaccines (Pfizer and Moderna) are safe and effective for children.,mRNA vaccines (Pfizer and Moderna) are not safe and effective for children.,mRNA vaccines (Pfizer and Moderna) are not safe and effective in children.,0.916666667,,,
1,Three doses of the vaccine have proven to provide stronger and longer-lasting protection.,Three doses of the vaccine have not proven to provide stronger and longer-lasting protection.,"A stronger, longer-lasting protection has not been demonstrated with three doses.",0.138418252,,,
1,Getting vaccinated is a safer and more dependable way to build immunity to COVID-19 than getting sick with COVID-19.,Getting vaccinated is not a safer and more dependable way to build immunity to COVID-19 than getting sick with COVID-19.,Vaccination is no safer and more reliable way to build immunity against COVID-19 than getting it.,0.535425538,,,
1,"If you had COVID-19, you should still get vaccinated to receive maximum protection.","If you had COVID-19, you should not still get vaccinated to receive maximum protection.","If you are infected with COVID-19, you should still not be vaccinated for maximum protection.",0.666666667,,,
1,Children aged between 6 months and under 5 years who are at an increased risk of severe illness from COVID-19 are recommended a paediatric formulation of the Moderna vaccine.,Children aged between 6 months and under 5 years who are at an increased risk of severe illness from COVID-19 are not recommended a paediatric formulation of the Moderna vaccine.,Modernavacine's pediatric formulation is not recommended for children 6 months to under 5 years of age at high risk of serious illness from COVID-19.,0.454300457,,,
1,"Eligible children can receive 2 doses, 8 weeks apart if they have a severely compromised immune system.","Eligible children can receive 2 doses, 8 weeks apart if they do not have a severely compromised immune system.",Eligible children may receive 2 doses 8 weeks apart if their immune system is not severely compromised.,0.575241613,,,
1,"Eligible children can receive 2 doses, 8 weeks apart if they have a severely compromised immune system, a disability that requires frequent assistance with activities of daily living, such as severe cerebral palsy or Down syndrome, and
complex or multiple health conditions which increase the risk of severe COVID-19.","Eligible children can receive 2 doses, 8 weeks apart if they have a severely compromised immune system, a disability that requires frequent assistance with activities of daily living, such as severe cerebral palsy or Down syndrome, and complex or multiple health conditions which increase the risk of severe COVID-19.","If you have a severely compromised immune system, a disorder that requires frequent assistance with activities of daily living, such as severe cerebral palsy or Down syndrome, or a complex or complex health condition that increases your risk, you may receive two doses 8 weeks apart. of severe COVID-19.",0.673469388,,,
