MR,Source,Followup,Result,BLEU_Score,,,
1,"A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as agreed by National Cabinet yesterday.","A State of Emergency has not been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he doesn't need to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as disagreed by National Cabinet yesterday.","A state of emergency has not been declared in Victoria to combat COVID-19 and help provide the director of health with powers he does not need to enforce 14-day isolation requirements for all travelers entering Australia and cancel meetings in mass of more than 500 people, as the National Cabinet disagreed yesterday.",0.807692308,,mean,0.705809698
1,"Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.","Premier Daniel Andrews and Minister for Health Jenny Mikakos haven't announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.","Prime Minister Daniel Andrews and Health Minister Jenny Mikakos did not announce that the state of emergency would begin on Monday, March 16 at noon and run for the next four weeks to help with measures aimed at 'flattening the curve' of COVID-19 and give our healthcare system the best chance of managing the virus.",0.714169072,,median,0.708970814
1,"Under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Not under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Outside the State of Emergency, Authorized Officers, under the direction of the Director of Health, may act to eliminate or reduce a serious risk to public health by detaining persons, restricting movement, preventing entry to the facility, or otherwise providing an AO considers reasonable to protect public health.",0.739375207,,max,1
1,"The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.","The first direction from the Chief Health Officer under these new powers will not include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.","The Director of Health's first guidance under these new powers will not include a ban on non-essential mass gatherings of more than 500 people, such as cultural events, sporting events or conferences.",0.6875,,min,0.074081822
1,"A number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.","Not a number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.","Some of our state's biggest cultural institutions, including the National Gallery of Victoria, the State Library and the Victoria Museums, have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.",0.84068519,,,
1,"Gatherings that are deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.","Gatherings that are not deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.","Gatherings that are not considered essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now, but have been asked to restrict mass gatherings such as assemblies and lectures of more than 500 people.",0.906976744,,,
1,"At this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.","Not at this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.","At this stage, spaces or places where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are not excluded from the agglomeration ban.",0.748405588,,,
1,"However, if it is deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.","However, if it is  not deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.","However, if it is not deemed necessary to protect public health, the powers could also be used in the future to quarantine entire suburbs, businesses or professions – rather than just individuals.",0.9375,,,
1,The powers also allow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,The powers also disallow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,The powers also prohibit the director of health from doing whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,0.793103448,,,
1,"While most Victorians are voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians are not voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians do not voluntarily comply with isolation orders, the expanded powers mean that people who do not comply with a directive can face a fine of up to $20,000.",0.741935484,,,
