MR,Source,Followup,Result,BLEU_Score,,,
1,Dentists and dental practitioners help us take care of our teeth and gums.,Dentists and dental practitioners cannot help us take care of our teeth and gums.,Dentists and dental practitioners cannot help us take care of our teeth and gums.,1,,mean,0.640480536
1,"They diagnose and treat diseases of the teeth, gums and mouth, and help take care of our dental health.","They do not diagnose and treat diseases of the teeth, gums and mouth, and help take care of our dental health.","It does not diagnose and treat diseases of the teeth, gums and mouth, but helps to take care of our dental health.",0.772727273,,median,0.664133652
1,"Dental practitioners include dental hygienists, therapists and prosthetists and oral health therapists.","Dental practitioners do not include dental hygienists, therapists and prosthetists and oral health therapists.","Dental practitioners do not include dental hygienists, therapists and prosthodontists, and oral health therapists.",0.928571429,,max,1
1,"Dentists provide assessment, diagnosis, treatment, management and preventive services.","Dentists do not provide assessment, diagnosis, treatment, management and preventive services.","Dentists do not provide assessment, diagnosis, treatment, management and preventive services.",1,,min,0
1,"Dentists provide diagnosis and treatment of diseases, injuries and abnormalities of teeth and gums.","Dentists do not provide diagnosis and treatment of diseases, injuries and abnormalities of teeth and gums.","Dentists do not provide diagnosis and treatment for diseases, injuries, and abnormalities of teeth and gums.",0.875,,count,206
1,Dentists provide restorative and preventive procedures.,Dentists do not provide restorative and preventive procedures.,Dentists do not provide restorative and preventive procedures.,1,,,
1,Dentists provide surgery or other specialist services.,Dentists do not provide surgery or other specialist services.,Dentists do not provide surgeries or other specialized services.,0.777777778,,,
1,"Dentists must complete a minimum 4-year undergraduate degree, or 4-year postgraduate master course.","Dentists must not complete a minimum 4-year undergraduate degree, or 4-year postgraduate master course.",Dentists must not complete a minimum of a four-year bachelor's degree or a four-year postgraduate master's degree.,0.470588235,,,
1,They must complete further training to specialise.,They must not complete further training to specialise.,You must not complete additional training for specialization.,0.5,,,
1,"Dental hygienists use preventive, educational and therapeutic methods to help prevent and control oral disease and maintain oral health.","Dental hygienists do not use preventive, educational and therapeutic methods to help prevent and control oral disease and maintain oral health.","Dental hygienists do not use prevention, education, and treatment methods to prevent and control oral disease and maintain oral health.",0.808545011,,,
1,They provide oral health assessment.,They do not provide oral health assessment.,We do not provide oral health assessments.,0.714285714,,,
1,They provide diagnosis.,They do not provide diagnosis.,They do not provide a diagnosis.,0.833333333,,,
1,They provide treatment.,They do not provide treatment.,They do not provide treatment.,1,,,
1,"They provide management and preventive services, such as fillings, tooth extraction and gum treatment.","They do not provide management and preventive services, such as fillings, tooth extraction and gum treatment.","They do not provide care and preventive services such as fillings, extractions and gum treatment.",0.748405588,,,
1,They provide education.,They do not provide education.,They do not provide education.,1,,,
1,Oral health therapists must complete a minimum 3-year undergraduate course.,Oral health therapists must not complete a minimum 3-year undergraduate course.,Oral health therapists must not complete a minimum three-year undergraduate program.,0.818181818,,,
1,"Dental therapists generally treat patients under the age of 18, unless they have completed further training.","Dental therapists generally do not treat patients under the age of 18, unless they have completed further training.",Dental therapists generally do not treat patients under the age of 18 unless they have completed additional training.,0.888888889,,,
1,They provide oral health assessment.,They do not provide oral health assessment.,We do not provide oral health assessments.,0.714285714,,,
1,They provide diagnosis.,They do not provide diagnosis.,They do not provide a diagnosis.,0.833333333,,,
1,They provide treatment.,They do not provide treatment.,They do not provide treatment.,1,,,
1,"They provide management and preventive services, such as x-rays, examinations, dental impressions and routine treatment.","They do not provide management and preventive services, such as x-rays, examinations, dental impressions and routine treatment.","They do not provide management and preventive services such as x-rays, examinations, dental impressions, and routine care.",0.823529412,,,
1,Dental therapists must complete a minimum 3-year undergraduate course.,Dental therapists must not complete a minimum 3-year undergraduate course.,Dental therapists must not complete a minimum of three years of undergraduate study.,0.615384615,,,
1,"Dental prosthetists make, fit, supply and repair dentures and other dental appliances.","Dental prosthetists do not make, fit, supply and repair dentures and other dental appliances.","Dental prosthetics do not manufacture, install, supply, or repair dentures and other dental appliances.",0.642857143,,,
1,They provide education.,They do not provide education.,They do not provide education.,1,,,
1,They provide assessment.,They do not provide assessment.,They don't give ratings.,0.194700196,,,
1,They provide treatment.,They do not provide treatment.,They do not provide treatment.,1,,,
1,They provide management and provision of removeable dentures.,They do not provide management and provision of removeable dentures.,They do not provide the care and provision of removable dentures.,0.727272727,,,
1,"They provide flexible, removable mouthguards used for sporting activities.","They do not provide flexible, removable mouthguards used for sporting activities.","They do not provide flexible, removable mouthguards used in sports activities.",0.818181818,,,
1,Dental prosthetists must complete a minimum 3-year undergraduate or one-year postgraduate course.,Dental prosthetists must not complete a minimum 3-year undergraduate or one-year postgraduate course.,Dental prosthetics must not complete a minimum of three years of undergraduate or one year of graduate study.,0.444444444,,,
1,"To practise in Australia, all dentists and dental practitioners must complete an approved course.","To practise in Australia, all dentists and dental practitioners must not complete an approved course.","To practice in Australia, not all dentists and dentists must complete an approved course.",0.798053811,,,
1,"To practise in Australia, all dentists and dental practitioners must register with the Dental Board of Australia (DBA).","To not practise in Australia, all dentists and dental practitioners must register with the Dental Board of Australia (DBA).",All dentists and dental practitioners must register with the Australian Dental Board (DBA) if they do not wish to practice in Australia.,0.545454545,,,
1,"To practise in Australia, all dentists and dental practitioners must meet the DBA’s scope of practice registration standard for dental practitioners.","To practise in Australia, all dentists and dental practitioners must not meet the DBA’s scope of practice registration standard for dental practitioners.","To practice in Australia, all dentists and dentists must not meet the DBA's criteria for registration as a dentist.",0.584274508,,,
1,"To practise in Australia, all dentists and dental practitioners must adhere to the DBA’s policies, codes and guidelines.","To practise in Australia, all dentists and dental practitioners must not adhere to the DBA’s policies, codes and guidelines.","To practice in Australia, all dentists and dentists must comply with the DBA's policies, regulations and guidelines.",0.575241613,,,
